Name;Gauss-Krueger E;Gauss-Krueger N
Artlenburg, Elbdeich;3598749;5916944
Artlenburg, Große Straße;3599035;5916482
Artlenburg, Grünstraße;3599371;5916616
Artlenburg, Hopfenhof;3599011;5916662
Artlenburg, Mühle;3599789;5916429
Artlenburg, Ost;3600210;5916183
Aschenputtelstraße;3574259;5937363
Aschhorn, Schwarzer Weg;3522735;5952692
Aschhorn 12;3523071;5952342
Aschhorn 2;3523418;5951234
Aschhorn 6;3523161;5951676
Aschhornermoor 5;3523154;5950465
Asendorf, Am Mühlenberg;3565525;5907276
Asendorf, Föhrenweg;3565736;5908626
Asendorf, Hanstedter Straße;3565408;5906879
Asendorf, Hinnerkstraße;3565366;5906945
Asendorf, Hinterm Holze;3566173;5906873
Asendorf, Salemsweg;3565182;5906135
Asendorf, Schulstraße;3565369;5906881
Asendorf, Waterfuhr;3565126;5907283
Asendorf, Zum Auetal;3565838;5908417
Ashausen;3576343;5915816
Ashausen, Büllhorner Weg;3573763;5914721
Ashausen, Grundschule;3575119;5915552
Ashausen, Im Twieten;3575908;5915358
Ashausen, Königsberger Straße;3574852;5915044
Ashausen, Schlehenweg;3575063;5915106
Ashausen, Steinhage;3574944;5915816
Asklepios Westklinikum (Mitte);3551659;5939288
Asklepios Westklinikum (Ost);3551878;5939237
Asklepios Westklinikum (West);3551309;5939259
Assel, Asseler Feldstraße;3528141;5951542
Assel, Asseler Hafenstraße;3528968;5951120
Assel, Schule;3528428;5951334
Asselermoor 19;3527666;5947795
Asselermoor 33;3527178;5947960
Asselermoor 55;3526593;5948140
Auedeich;3558742;5933172
Auenstraße;3569674;5938400
Auerhahnweg;3575609;5940514
Auf dem Sande (Speicherstadt);3565691;5935165
Auf dem Sülzbrack;3578398;5920184
Auf der Bojewiese;3578235;5930107
Auf der Hohen Schaar;3564011;5929988
Auf der Jahnhöhe;3561829;5925096
Augustastraße;3580733;5929496
August-Bebel-Straße;3581984;5928664
Auguste-Baur-Straße;3553978;5936717
Augustenburger Straße;3562658;5937525
August-Kirch-Straße;3559540;5938152
Aumühle;3587243;5933974
Aumühle, Augustinum;3587007;5933999
Aumühle, Bürgerstraße;3587158;5933126
Aumühle, Dora-Specht-Allee;3587126;5933458
Aumühle, Ernst-Anton-Straße;3587574;5933225
Aumühle, Große Straße;3586599;5933554
Aumühle, Kuhkoppel;3587868;5933026
Aumühle, Lindenstraße;3586998;5933893
Aumühle, Sachsenwaldstraße;3587253;5933480
Aurubis Werk Ost;3568750;5932036
Aurubis Zentrale;3568639;5932728
Außenmühle;3565307;5924770
Ausschläger Allee (Kfz-Verwahrstelle);3570362;5933802
Ausschläger Weg (LBV);3568894;5935623
Australiastraße (Hafenmuseum);3566337;5933164
Auufer;3545006;5977335
Avendorf, Elbuferstraße;3597878;5917418
Avendorf (Ost);3597028;5918070
Avendorf, Recht Up;3596346;5918335
Avendorf (West);3595670;5918264
Avensermoor 5;3540729;5904521
Averhoffstraße;3567433;5938169
Axel-Springer-Platz;3565388;5936089
Baakenhöft;3566952;5934538
BAB-Auffahrt Horn;3570826;5936973
BAB-Auffahrt Nettelnburg;3578252;5927777
BAB-Auffahrt Ramelsloh;3569033;5912884
BAB-Auffahrt Stellingen;3561128;5940973
BAB-Auffahrt Volkspark;3560873;5939156
BAB-Auffahrt Waltershof;3560564;5931798
BAB-Auffahrt Waltershof (N);3560598;5931819
Bachenbrock, Parkplatz;3538182;5939806
Bachenbrock, Wendeplatz;3537892;5938484
Bachenbrock 17;3537760;5939061
Bachenbrock 86;3538138;5939760
Bachstraße;3567955;5938889
Bad Bevensen;3605558;5884044
Bad Bodenteich;3612843;5857051
Bad Bramstedt;3558551;5976997
Bad Bramstedt, Am Köhlerhof(AST-Halt);3558105;5975909
Bad Bramstedt, Am Wittrehm(AST-Halt);3559101;5974904
Bad Bramstedt, An der Hudau(AST-Halt);3558295;5976324
Bad Bramstedt, Bimöhler Straße(AST-Halt);3559035;5977341
Bad Bramstedt, Bleeck;3558044;5976769
Bad Bramstedt, Bob'n de Lieth (AST-Halt);3557697;5977624
Bad Bramstedt, Brügmann-Ring (AST-Halt);3559006;5976920
Bad Bramstedt, Butendoor;3558344;5976370
Bad Bramstedt, Caspar-Fuchs-Weg(AST-Halt);3557900;5976172
Bad Bramstedt, Clashorn;3561853;5975229
Bad Bramstedt, Dahlkamp(AST-Halt);3557027;5977170
Bad Bramstedt, Danziger Weg(AST-Halt);3556942;5976744
Bad Bramstedt, Düsternhoop(AST-Halt);3558511;5977294
Bad Bramstedt, Ellernbusch(AST-Halt);3557122;5977454
Bad Bramstedt, Friedhof(AST-Halt);3557606;5976746
Bad Bramstedt, Fuhlendorfer Weg;3558262;5977559
Bad Bramstedt, Gemeinschaftsschule;3557334;5977671
Bad Bramstedt, Goethering(AST-Halt);3557177;5976200
Bad Bramstedt, Graf-Stolberg-Straße (AST-Halt);3558364;5977930
Bad Bramstedt, Grundschule Am Bahnhof;3558499;5976932
Bad Bramstedt, Gustav-Schatz-Weg(AST-Halt);3557185;5974478
Bad Bramstedt, Gymnasium;3558931;5977712
Bad Bramstedt, Hamburger Straße (Mitte);3557998;5975925
Bad Bramstedt, Kantstraße(AST-Halt);3557874;5977671
Bad Bramstedt, Klinikum(AST-Halt);3558797;5975108
Bad Bramstedt, Königsweg(AST-Halt);3557667;5975816
Bad Bramstedt Kurhaus;3558598;5975069
Bad Bramstedt, Lehmbarg(AST-Halt);3559046;5977470
Bad Bramstedt, Maienbaß;;
Bad Bramstedt, Maienbeeck (Ost);3557922;5977072
Bad Bramstedt, Maienbeeck (West);3557590;5977288
Bad Bramstedt, Oskar-Alexander-Straße (AST-Halt);3558583;5976048
Bad Bramstedt, Parkstraße(AST-Halt);3558262;5975635
Bad Bramstedt, Pommernweg;3557348;5975035
Bad Bramstedt, Psychos.Klinik(AST-Halt);3558562;5975204
Bad Bramstedt, Raamakerstieg(AST-Halt);3558348;5977143
Bad Bramstedt, Rühmels(AST-Halt);3557004;5975835
Bad Bramstedt, Saebystraße(AST-Halt);3557974;5975613
Bad Bramstedt, Schillerstraße (Mitte)(AST-Halt);3557276;5976461
Bad Bramstedt, Schillerstraße (Süd) (AST-Halt);3557487;5976194
Bad Bramstedt, Schlüskamp(AST-Halt);3558499;5976919
Bad Bramstedt, Stedingweg(AST-Halt);3557804;5976120
Bad Bramstedt, Tegelbarg(AST-Halt);3558597;5977844
Bad Bramstedt, Unter der Lieth(AST-Halt);3557869;5977371
Bad Bramstedt, Vogelstange;3558391;5976538
Bad Bramstedt, Weddelbrooker Straße;3558125;5974900
